Product Name;Category;Supplier;Origin Country;Last Delivery Date;Price
Sardines;Fish;Mediterranean Seafoods Co.;Portugal;29.08.2023;0,99
Cottage Cheese;Dairy;Creamery Delight;USA;25.08.2023;0,46
Sweet Potatoes;Vegetables;Fresh Farms Ltd.;USA;26.08.2023;0,06
Basil;Herbs;GreenLeaf Organics;Italy;27.08.2023;0,69
Canned Corn;Canned Goods;FarmFresh Cans Ltd.;USA;24.08.2023;0,94
Whole Milk;Dairy;Dairyland Ltd.;UK;25.08.2023;0,85
Peanut Butter;Condiments;NutriLife Foods;USA;26.08.2023;0,79
Shrimp;Seafood;Ocean Fresh Co.;Vietnam;28.08.2023;0,89
Cranberries;Fruits;BerryBest Farms;USA;27.08.2023;0,02
Red Lentils;Grains;Legume World;India;29.08.2023;0,77
Miso Paste;Condiments;Asian Delights Co.;Japan;30.08.2023;0,92
Black Tea;Beverages;Tea Traditions Ltd.;India;30.08.2023;0,45
Olive Tapenade;Condiments;Mediterranean Delights Co.;Greece;28.08.2023;0,68
Quail Eggs;Eggs;Golden Eggs Ltd.;France;24.08.2023;0,43
Walnuts;Nuts;NutriNuts Ltd.;USA;25.08.2023;0,99
Radishes;Vegetables;Veggie Fresh Co.;Netherlands;27.08.2023;0,91
Greek Olives;Condiments;Mediterranean Delights Co.;Greece;29.08.2023;0,81
Brie Cheese;Dairy;French Dairy Co.;France;24.08.2023;0,17
Edamame;Vegetables;Organic Farms;Japan;26.08.2023;0,41
Rye Crackers;Snacks;Baker's Choice;Sweden;30.08.2023;0,36
Coconut Milk;Beverages;Tropical Foods Ltd.;Thailand;30.08.2023;0,69
Hazelnut Spread;Condiments;Nutty Foods Ltd.;Italy;29.08.2023;0,65
Swiss Cheese;Dairy;Alpine Dairy Co.;Switzerland;28.08.2023;0,30
Grapes;Fruits;VineFresh Suppliers;USA;24.08.2023;0,69
Camembert Cheese;Dairy;French Dairy Co.;France;27.08.2023;0,80
Lentil Soup;Canned Goods;Healthy Cans Ltd.;Turkey;30.08.2023;0,92
Avocado Oil;Oil;Organic Oils Ltd.;Mexico;28.08.2023;0,37
Spaghetti;Grains;Italian Pasta Co.;Italy;26.08.2023;0,15
Sliced Turkey Breast;Meat;Prime Meats Co.;USA;25.08.2023;0,62
Strawberries;Fruits;BerryBest Farms;USA;29.08.2023;0,27
Red Bell Peppers;Vegetables;Green Leaf Farms;Spain;30.08.2023;0,62
Coconut Sugar;Condiments;Pure Tropics Co.;Philippines;27.08.2023;0,32
Goat Cheese;Dairy;Mediterranean Dairy;Greece;28.08.2023;0,68
Sweet Corn;Vegetables;Farm Fresh Inc.;USA;25.08.2023;0,40
Oranges;Fruits;Citrus Groves;Spain;26.08.2023;0,35
Macadamia Nuts;Nuts;NutriNuts Ltd.;South Africa;29.08.2023;0,31
Kefir;Dairy;Probiotic Dairy Co.;USA;30.08.2023;0,79
Baby Spinach;Vegetables;GreenLeaf Organics;USA;30.08.2023;0,51
Millet;Grains;Organic Grains Co.;India;28.08.2023;0,72
Blackberries;Fruits;BerryBest Farms;USA;27.08.2023;0,21
Frozen Strawberries;Frozen Foods;Frozen Delights;Chile;26.08.2023;0,57
Multigrain Crackers;Snacks;Baker's Choice;USA;30.08.2023;0,86
Cabbage;Vegetables;Farm Fresh Inc.;USA;25.08.2023;0,61
Seaweed Snacks;Snacks;Asian Delights Co.;Japan;30.08.2023;0,62
Lamb Ground Meat;Meat;Meat Masters Inc.;Australia;29.08.2023;0,94
Ricotta Cheese;Dairy;Italian Cheese Co.;Italy;28.08.2023;0,05
Yellow Lentils;Grains;Legume World;India;29.08.2023;0,54
Lemon Juice;Beverages;Citrus Groves;Italy;30.08.2023;0,05
Gluten-Free Pasta;Grains;Italian Pasta Co.;Italy;30.08.2023;0,17
Organic Kale Chips;Snacks;Leafy Greens Ltd.;USA;29.08.2023;0,99
